"Datatimestamp","Zipcode","Cityname","Temperature","Pressure","Humidity"
"2021-11-28 00:03:27.0","4600","Olten","0.0","999.0","93.0"
"2021-11-28 00:33:30.0","4600","Olten","0.0","999.0","94.0"
"2021-11-28 01:03:29.0","4600","Olten","0.0","999.0","94.0"
"2021-11-28 01:33:33.0","4600","Olten","0.0","999.0","95.0"
"2021-11-28 02:01:14.0","4600","Olten","0.0","999.0","95.0"
"2021-11-28 02:33:36.0","4600","Olten","0.0","999.0","94.0"
"2021-11-28 03:03:37.0","4600","Olten","0.0","999.0","94.0"
"2021-11-28 03:33:39.0","4600","Olten","0.0","999.0","93.0"
"2021-11-28 04:02:29.0","4600","Olten","0.0","999.0","93.0"
"2021-11-28 04:33:42.0","4600","Olten","0.0","999.0","94.0"
"2021-11-28 05:00:24.0","4600","Olten","0.0","999.0","94.0"
"2021-11-28 05:30:11.0","4600","Olten","0.0","999.0","94.0"
"2021-11-28 06:03:49.0","4600","Olten","0.0","999.0","94.0"
"2021-11-28 06:30:13.0","4600","Olten","0.0","999.0","95.0"
"2021-11-28 07:03:57.0","4600","Olten","0.0","999.0","94.0"
"2021-11-28 07:33:59.0","4600","Olten","0.0","999.0","93.0"
"2021-11-28 08:04:03.0","4600","Olten","0.0","999.0","93.0"
"2021-11-28 08:30:32.0","4600","Olten","0.0","999.0","90.0"
"2021-11-28 09:02:47.0","4600","Olten","0.0","999.0","90.0"
"2021-11-28 09:34:10.0","4600","Olten","0.0","999.0","83.0"
"2021-11-28 10:02:40.0","4600","Olten","1.0","999.0","83.0"
"2021-11-28 10:34:14.0","4600","Olten","1.0","998.0","77.0"
"2021-11-28 11:00:16.0","4600","Olten","1.0","998.0","77.0"
"2021-11-28 11:34:17.0","4600","Olten","2.0","998.0","71.0"
"2021-11-28 12:04:19.0","4600","Olten","2.0","998.0","71.0"
"2021-11-28 12:34:21.0","4600","Olten","2.0","998.0","72.0"
"2021-11-28 13:02:43.0","4600","Olten","2.0","998.0","72.0"
"2021-11-28 13:34:24.0","4600","Olten","2.0","998.0","85.0"
"2021-11-28 14:04:26.0","4600","Olten","2.0","998.0","85.0"
"2021-11-28 14:34:28.0","4600","Olten","2.0","998.0","94.0"
"2021-11-28 14:59:55.0","4600","Olten","2.0","998.0","94.0"
"2021-11-28 15:34:31.0","4600","Olten","1.0","998.0","97.0"
"2021-11-28 16:04:33.0","4600","Olten","1.0","998.0","97.0"
"2021-11-28 16:34:35.0","4600","Olten","1.0","999.0","99.0"
