"Datatimestamp","Zipcode","Cityname","Temperature","Pressure","Humidity"
"2021-11-01 00:17:45.0","6300","Zug","8.0","1005.0","91.0"
"2021-11-01 00:47:58.0","6300","Zug","8.0","1005.0","91.0"
"2021-11-01 01:15:41.0","6300","Zug","8.0","1005.0","92.0"
"2021-11-01 01:45:13.0","6300","Zug","8.0","1005.0","92.0"
"2021-11-01 02:17:49.0","6300","Zug","8.0","1005.0","89.0"
"2021-11-01 02:48:04.0","6300","Zug","8.0","1005.0","89.0"
"2021-11-01 03:15:08.0","6300","Zug","8.0","1005.0","91.0"
"2021-11-01 03:45:01.0","6300","Zug","8.0","1004.0","91.0"
"2021-11-01 04:15:53.0","6300","Zug","9.0","1005.0","91.0"
"2021-11-01 04:45:53.0","6300","Zug","9.0","1005.0","92.0"
"2021-11-01 05:17:50.0","6300","Zug","9.0","1005.0","89.0"
"2021-11-01 05:47:55.0","6300","Zug","9.0","1005.0","91.0"
"2021-11-01 06:17:58.0","6300","Zug","9.0","1006.0","91.0"
"2021-11-01 06:45:54.0","6300","Zug","9.0","1006.0","91.0"
"2021-11-01 07:18:01.0","6300","Zug","9.0","1006.0","92.0"
"2021-11-01 07:48:22.0","6300","Zug","9.0","1007.0","92.0"
"2021-11-01 08:18:03.0","6300","Zug","9.0","1007.0","90.0"
"2021-11-01 08:47:25.0","6300","Zug","9.0","1007.0","92.0"
"2021-11-01 09:17:32.0","6300","Zug","9.0","1008.0","90.0"
"2021-11-01 09:48:03.0","6300","Zug","9.0","1008.0","90.0"
"2021-11-01 10:18:07.0","6300","Zug","9.0","1008.0","90.0"
"2021-11-01 10:47:57.0","6300","Zug","9.0","1007.0","90.0"
"2021-11-01 11:17:36.0","6300","Zug","9.0","1007.0","90.0"
"2021-11-01 11:48:21.0","6300","Zug","9.0","1007.0","92.0"
"2021-11-01 12:15:52.0","6300","Zug","9.0","1007.0","90.0"
"2021-11-01 12:48:39.0","6300","Zug","9.0","1006.0","90.0"
"2021-11-01 13:15:52.0","6300","Zug","9.0","1006.0","90.0"
"2021-11-01 13:45:03.0","6300","Zug","9.0","1005.0","87.0"
"2021-11-01 14:17:24.0","6300","Zug","9.0","1005.0","89.0"
"2021-11-01 14:48:45.0","6300","Zug","10.0","1005.0","89.0"
"2021-11-01 15:18:15.0","6300","Zug","10.0","1005.0","89.0"
"2021-11-01 15:40:26.0","6300","Zug","10.0","1005.0","86.0"
"2021-11-01 16:18:16.0","6300","Zug","10.0","1005.0","85.0"
"2021-11-01 16:48:51.0","6300","Zug","10.0","1005.0","87.0"
"2021-11-01 17:17:56.0","6300","Zug","9.0","1005.0","87.0"
"2021-11-01 17:44:59.0","6300","Zug","9.0","1005.0","87.0"
"2021-11-01 18:15:12.0","6300","Zug","9.0","1005.0","85.0"
"2021-11-01 18:48:58.0","6300","Zug","9.0","1005.0","88.0"
"2021-11-01 19:18:26.0","6300","Zug","9.0","1005.0","91.0"
"2021-11-01 19:45:46.0","6300","Zug","8.0","1005.0","89.0"
"2021-11-01 20:18:28.0","6300","Zug","8.0","1005.0","92.0"
"2021-11-01 20:49:05.0","6300","Zug","8.0","1005.0","89.0"
"2021-11-01 21:16:18.0","6300","Zug","8.0","1005.0","90.0"
"2021-11-01 21:48:20.0","6300","Zug","8.0","1005.0","87.0"
"2021-11-01 22:16:40.0","6300","Zug","7.0","1005.0","86.0"
"2021-11-01 22:49:12.0","6300","Zug","7.0","1005.0","88.0"
"2021-11-01 23:18:34.0","6300","Zug","7.0","1005.0","88.0"
"2021-11-01 23:45:52.0","6300","Zug","7.0","1004.0","90.0"
"2021-11-02 00:18:24.0","6300","Zug","7.0","1005.0","89.0"
"2021-11-02 00:44:48.0","6300","Zug","7.0","1005.0","89.0"
"2021-11-02 01:18:38.0","6300","Zug","7.0","1004.0","90.0"
"2021-11-02 01:48:15.0","6300","Zug","7.0","1004.0","87.0"
"2021-11-02 02:18:40.0","6300","Zug","7.0","1004.0","87.0"
"2021-11-02 02:48:49.0","6300","Zug","7.0","1004.0","89.0"
"2021-11-02 03:16:40.0","6300","Zug","6.0","1004.0","87.0"
"2021-11-02 03:45:32.0","6300","Zug","6.0","1004.0","87.0"
"2021-11-02 04:18:44.0","6300","Zug","6.0","1004.0","87.0"
"2021-11-02 04:45:52.0","6300","Zug","6.0","1003.0","90.0"
"2021-11-02 05:14:45.0","6300","Zug","5.0","1003.0","90.0"
"2021-11-02 05:49:37.0","6300","Zug","5.0","1003.0","91.0"
"2021-11-02 06:18:30.0","6300","Zug","5.0","1003.0","91.0"
